archivo,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Cluster
anillo_centro_4d.csv,-1.77468,-2.43871,-1.82409,0.228778,1
anillo_centro_4d.csv,1.49373,-0.310678,-2.70412,-2.90283,1
anillo_centro_4d.csv,-2.33398,-0.057537,1.71486,2.68426,1
anillo_centro_4d.csv,-2.74124,-2.63953,-1.12031,0.965842,1
anillo_centro_4d.csv,-0.175376,0.0648221,-0.0129026,-0.0846541,2
anillo_centro_4d.csv,-1.27699,-2.62509,-2.08731,-0.709893,1
anillo_centro_4d.csv,-0.738649,-2.61133,-2.55952,-1.15244,1
anillo_centro_4d.csv,-1.72719,-2.96735,-2.46412,-0.384975,1
anillo_centro_4d.csv,0.360996,2.17326,2.68902,1.85801,1
anillo_centro_4d.csv,-0.352193,-0.222892,0.11045,-0.247771,2
anillo_centro_4d.csv,0.237057,-0.282071,0.0310741,-0.198275,2
anillo_centro_4d.csv,-3.10827,-2.66462,-0.824601,1.62171,1
anillo_centro_4d.csv,0.137843,-0.0322505,-0.352076,0.0741265,2
anillo_centro_4d.csv,2.53444,2.01236,0.205996,-1.77477,1
anillo_centro_4d.csv,-2.46928,-0.897678,1.38712,2.59592,1
anillo_centro_4d.csv,-0.48424,-0.0454834,-0.09912,-0.0407286,2
anillo_centro_4d.csv,0.149724,0.078344,-0.115072,0.111798,2
anillo_centro_4d.csv,-0.499221,-2.05083,-2.93524,-1.93628,1
anillo_centro_4d.csv,2.84641,1.66292,-0.779842,-2.38561,1
anillo_centro_4d.csv,1.67976,-0.504681,-2.58568,-2.93801,1
anillo_centro_4d.csv,-0.0899945,0.280471,-0.430349,-0.184389,2
anillo_centro_4d.csv,0.0614866,0.154004,0.150959,-0.0639992,2
anillo_centro_4d.csv,1.37056,2.8045,2.39936,0.785842,1
anillo_centro_4d.csv,0.139287,0.360154,0.00772335,-0.369044,2
anillo_centro_4d.csv,0.418547,-0.290019,0.242802,0.0102145,2
anillo_centro_4d.csv,1.62074,2.77604,2.2235,0.525276,1
anillo_centro_4d.csv,0.927061,2.75552,2.84765,1.49291,1
anillo_centro_4d.csv,-0.287131,0.400911,-0.0321269,0.316906,2
anillo_centro_4d.csv,-0.0889605,0.0230769,-0.31315,-0.181776,2
anillo_centro_4d.csv,-0.80231,1.12853,2.7281,2.40752,1
anillo_centro_4d.csv,-2.82822,-1.3794,0.658418,2.27798,1
anillo_centro_4d.csv,0.113005,-0.0791906,0.469756,0.329902,2
anillo_centro_4d.csv,-2.94197,-1.82196,0.229485,2.52761,1
anillo_centro_4d.csv,-2.16375,-0.174101,2.31038,3.03148,1
anillo_centro_4d.csv,0.180219,-0.418203,0.707795,-0.180195,2
anillo_centro_4d.csv,-0.397508,-0.473067,0.290447,0.187874,2
anillo_centro_4d.csv,-2.35913,-1.00377,1.30065,2.66094,1
anillo_centro_4d.csv,0.00343887,-0.226093,0.310737,-0.0526605,2
anillo_centro_4d.csv,2.43832,3.36762,2.0485,-0.144355,1
anillo_centro_4d.csv,-0.0324884,-2.48445,-3.22619,-2.50221,1
anillo_centro_4d.csv,2.21945,2.80145,1.98177,-0.401645,1
anillo_centro_4d.csv,0.0873206,-0.0548137,-0.219414,0.0849374,2
anillo_centro_4d.csv,0.0793422,0.0964974,0.398738,-0.228004,2
anillo_centro_4d.csv,0.239283,-0.158075,-0.286822,0.265339,2
anillo_centro_4d.csv,0.362821,-1.94022,-2.96012,-2.35651,1
anillo_centro_4d.csv,0.0376933,-0.0481298,0.195258,-0.30665,2
anillo_centro_4d.csv,-0.0813783,-0.622994,0.434195,0.00511036,2
anillo_centro_4d.csv,-0.0812556,-0.0367884,0.212357,0.260266,2
anillo_centro_4d.csv,-1.35784,-2.92915,-2.92364,-1.19343,1
anillo_centro_4d.csv,2.0919,-0.414696,-2.13521,-2.93789,1
anillo_centro_4d.csv,0.381571,-1.97331,-3.60524,-2.75058,1
anillo_centro_4d.csv,0.345609,2.52799,2.84426,1.90054,1
anillo_centro_4d.csv,-1.50238,-0.272444,1.72505,2.49618,1
anillo_centro_4d.csv,-2.66884,0.0387329,2.5663,3.33174,1
anillo_centro_4d.csv,0.137504,2.46957,3.1965,2.12244,1
anillo_centro_4d.csv,-2.17909,0.153525,2.27712,2.95211,1
anillo_centro_4d.csv,-1.45602,0.790681,2.57121,2.92414,1
anillo_centro_4d.csv,0.422941,-0.269551,-0.113528,0.00295346,2
anillo_centro_4d.csv,0.568634,-0.0977216,-0.105861,0.43411,2
anillo_centro_4d.csv,0.139616,-0.537029,-0.148695,0.00372356,2
anillo_centro_4d.csv,1.73086,-0.465674,-2.13179,-2.76123,1
anillo_centro_4d.csv,-0.203345,-0.518408,0.235882,-0.154164,2
anillo_centro_4d.csv,-3.00754,-2.76155,-0.421503,1.86026,1
anillo_centro_4d.csv,0.172906,-0.0992789,0.0969529,-0.468595,2
anillo_centro_4d.csv,-0.299413,0.0987789,0.016423,0.292902,2
anillo_centro_4d.csv,-0.042431,-0.163676,-0.225704,-0.254261,2
anillo_centro_4d.csv,-2.19991,-0.473679,1.69681,2.9413,1
anillo_centro_4d.csv,-0.410389,0.159544,-0.274956,0.198256,2
anillo_centro_4d.csv,-2.01528,0.454239,2.51271,3.34902,1
anillo_centro_4d.csv,-2.61506,-0.881293,1.19617,2.74454,1
anillo_centro_4d.csv,-2.05408,0.247981,2.56241,3.10542,1
anillo_centro_4d.csv,0.435077,-0.284613,0.201959,0.263495,2
anillo_centro_4d.csv,1.72736,2.75639,1.63095,0.23795,1
anillo_centro_4d.csv,-0.289955,0.344953,0.109924,-0.261274,2
anillo_centro_4d.csv,-0.00905569,0.0642774,-0.201703,-0.292894,2
anillo_centro_4d.csv,1.17429,-1.23131,-2.45874,-2.83248,1
anillo_centro_4d.csv,-0.0190442,0.283102,-0.321615,-0.0168106,2
anillo_centro_4d.csv,0.0208484,0.231551,-0.170282,0.253725,2
anillo_centro_4d.csv,0.442021,0.54512,-0.227656,-0.618156,2
anillo_centro_4d.csv,-2.42335,-0.427418,1.61176,2.82269,1
anillo_centro_4d.csv,-2.85801,-3.04325,-1.91098,0.431822,1
anillo_centro_4d.csv,-3.29203,-2.96628,-0.471648,1.25576,1
anillo_centro_4d.csv,1.31883,3.03978,2.51403,0.990449,1
anillo_centro_4d.csv,0.133871,0.0368132,0.312731,0.197269,2
anillo_centro_4d.csv,2.53991,0.788274,-1.66858,-3.07943,1
anillo_centro_4d.csv,0.327216,0.516656,0.380087,0.149347,2
anillo_centro_4d.csv,2.28543,2.94613,1.91007,-0.202076,1
anillo_centro_4d.csv,-0.185398,-0.247885,0.461628,0.0946674,2
anillo_centro_4d.csv,0.457071,-0.155202,0.161752,-0.158021,2
anillo_centro_4d.csv,0.125657,0.299408,0.0859683,0.209924,2
anillo_centro_4d.csv,0.0827862,-2.14549,-3.28919,-2.16474,1
anillo_centro_4d.csv,0.134509,-0.0372722,0.326158,0.109201,2
anillo_centro_4d.csv,-0.00356581,-0.5304,0.0196648,-0.125383,2
anillo_centro_4d.csv,0.171705,-0.167544,0.192161,0.258952,2
anillo_centro_4d.csv,2.77117,2.78712,1.51578,-1.13648,1
anillo_centro_4d.csv,-3.04057,-1.77602,0.74642,2.35402,1
anillo_centro_4d.csv,0.0391015,0.292273,0.0875374,0.350576,2
anillo_centro_4d.csv,-0.320529,0.0472713,-0.293877,-0.535827,2
anillo_centro_4d.csv,0.281922,-1.81837,-3.29853,-2.43335,1
anillo_centro_4d.csv,-3.4276,-2.80206,-1.29012,1.26459,1
anillo_centro_4d.csv,-3.19063,-2.33221,0.27451,2.58554,1
anillo_centro_4d.csv,0.0734382,0.271139,-0.00158433,-0.0998638,2
anillo_centro_4d.csv,-1.03697,1.45818,2.99073,2.47658,1
anillo_centro_4d.csv,2.20965,2.97005,2.11135,0.00372509,1
anillo_centro_4d.csv,-0.307867,-0.219127,0.194449,-0.24608,2
anillo_centro_4d.csv,-0.077091,-0.365996,0.169882,-0.281942,2
anillo_centro_4d.csv,-0.0151265,-0.235001,-0.335222,0.0204112,2
anillo_centro_4d.csv,-0.151113,-0.500941,-0.22978,0.0998164,2
anillo_centro_4d.csv,1.58253,-0.956273,-2.50077,-3.08927,1
anillo_centro_4d.csv,-0.0957973,-0.0788341,0.317036,-0.0674054,2
anillo_centro_4d.csv,0.37134,0.161145,0.238249,-0.101449,2
anillo_centro_4d.csv,-0.432798,-0.168532,-0.217664,0.238523,2
anillo_centro_4d.csv,0.37057,0.17525,-0.0200439,0.247293,2
anillo_centro_4d.csv,-3.07451,-0.839261,1.56026,3.15382,1
anillo_centro_4d.csv,2.3389,0.124277,-2.13427,-2.94506,1
anillo_centro_4d.csv,-2.17235,-0.210979,1.9248,2.82508,1
anillo_centro_4d.csv,1.70358,-0.603445,-2.1842,-2.68527,1
anillo_centro_4d.csv,-0.113086,-2.14502,-2.61608,-1.54531,1
anillo_centro_4d.csv,-0.719713,-2.2279,-2.49887,-1.48826,1
anillo_centro_4d.csv,-1.35007,0.478754,2.48921,2.62248,1
anillo_centro_4d.csv,-0.117969,-0.379038,-0.21062,0.136093,2
anillo_centro_4d.csv,-1.17422,-2.65935,-2.76148,-1.38971,1
anillo_centro_4d.csv,-0.140215,-0.191174,-0.363675,0.414745,2
anillo_centro_4d.csv,-0.093678,-0.127205,0.0812861,-0.495469,2
anillo_centro_4d.csv,-0.170406,2.32591,3.36067,2.23513,1
anillo_centro_4d.csv,-0.0564484,-0.175498,-0.169987,0.000968138,2
anillo_centro_4d.csv,2.59113,3.30625,1.47583,-0.888649,1
anillo_centro_4d.csv,1.66229,-0.708665,-3.02955,-2.75757,1
anillo_centro_4d.csv,-0.159947,0.110917,0.215132,-0.243121,2
anillo_centro_4d.csv,-1.90219,-2.88809,-2.18781,-0.436128,1
anillo_centro_4d.csv,-0.164891,0.207019,-0.379811,-0.012499,2
anillo_centro_4d.csv,0.630745,-2.2897,-3.31587,-2.55692,1
anillo_centro_4d.csv,-1.97678,0.312357,2.47576,3.1158,1
anillo_centro_4d.csv,0.210348,0.164025,-0.211432,0.100577,2
anillo_centro_4d.csv,0.0107469,0.0757205,0.0359765,0.61616,2
anillo_centro_4d.csv,1.9068,3.0181,2.57857,0.709464,1
anillo_centro_4d.csv,0.0102265,0.437363,0.161033,-0.192846,2
anillo_centro_4d.csv,0.29244,-0.0863343,-0.00101119,0.040002,2
anillo_centro_4d.csv,2.5775,1.17421,-1.18289,-2.67123,1
anillo_centro_4d.csv,2.52471,0.35522,-1.96917,-3.24288,1
anillo_centro_4d.csv,0.521932,2.69331,3.37728,2.02933,1
anillo_centro_4d.csv,-0.241096,0.184065,0.0294059,-0.29255,2
anillo_centro_4d.csv,1.79892,-0.95506,-2.60197,-3.16468,1
anillo_centro_4d.csv,0.182336,0.204409,0.149778,0.0777913,2
anillo_centro_4d.csv,-0.131668,0.0514169,0.116108,-0.124987,2
anillo_centro_4d.csv,2.93337,2.24343,-0.341851,-2.06972,1
anillo_centro_4d.csv,2.7779,2.02458,0.268967,-1.55446,1
anillo_centro_4d.csv,2.88423,1.75214,-0.26455,-2.40346,1
anillo_centro_4d.csv,0.266983,0.145886,0.0472145,0.0818262,2
anillo_centro_4d.csv,2.7359,1.32571,-0.784114,-2.76178,1
anillo_centro_4d.csv,-0.00218633,0.0692515,-0.494598,0.410165,2
anillo_centro_4d.csv,3.36709,2.62135,0.0963055,-1.96415,1
anillo_centro_4d.csv,0.312574,0.163772,0.104202,0.741201,2
anillo_centro_4d.csv,-0.387095,0.0597056,0.00483258,-0.470728,2
anillo_centro_4d.csv,-1.02147,1.60312,3.21226,3.21607,1
anillo_centro_4d.csv,0.0601613,-0.281309,-0.297493,0.240767,2
anillo_centro_4d.csv,3.1769,1.23303,-1.20984,-3.06208,1
anillo_centro_4d.csv,0.346897,0.328705,-0.241415,-0.104929,2
anillo_centro_4d.csv,0.438069,-0.34362,0.00485307,-0.0654062,2
anillo_centro_4d.csv,-0.499731,-0.303121,0.168685,0.367262,2
anillo_centro_4d.csv,-2.52784,-0.98268,1.29571,2.99486,1
anillo_centro_4d.csv,-0.035262,-0.27192,-0.214512,-0.34882,2
anillo_centro_4d.csv,-0.426091,0.121835,0.345486,-0.182354,2
anillo_centro_4d.csv,1.85159,-0.012658,-2.13083,-2.43056,1
anillo_centro_4d.csv,-0.366042,0.0893004,-0.297751,0.2201,2
anillo_centro_4d.csv,0.202168,-0.265629,0.364756,0.155417,2
anillo_centro_4d.csv,-0.203086,-0.501465,-0.136121,0.0631425,2
anillo_centro_4d.csv,-2.61609,-3.29064,-1.88992,0.780579,1
anillo_centro_4d.csv,-0.126024,-2.20258,-2.66779,-1.89163,1
anillo_centro_4d.csv,-0.377855,-2.02335,-2.5162,-1.48612,1
anillo_centro_4d.csv,0.303337,2.33052,2.82267,1.41841,1
anillo_centro_4d.csv,2.74345,3.21805,1.98609,-0.275917,1
anillo_centro_4d.csv,-0.500035,-0.400814,0.0568042,0.323618,2
anillo_centro_4d.csv,-1.029,-2.30741,-2.25393,-0.926599,1
anillo_centro_4d.csv,-0.338627,0.123913,0.259752,-0.133756,2
anillo_centro_4d.csv,0.219981,0.205066,-0.201365,-0.156566,2
anillo_centro_4d.csv,1.19467,2.7613,2.30337,0.916557,1
anillo_centro_4d.csv,1.92564,0.172366,-2.13811,-3.13983,1
anillo_centro_4d.csv,-0.247668,0.464273,0.323593,-0.100595,2
anillo_centro_4d.csv,-2.42952,-0.268636,1.514,2.8776,1
anillo_centro_4d.csv,2.60383,2.85914,1.39733,-0.841045,1
anillo_centro_4d.csv,-0.217048,-0.0856925,0.199976,-0.0421694,2
anillo_centro_4d.csv,-0.0402938,0.0578356,0.182534,-0.261435,2
anillo_centro_4d.csv,-0.895464,-2.6038,-3.06078,-1.4197,1
anillo_centro_4d.csv,-1.14556,-2.80823,-3.0025,-1.03294,1
anillo_centro_4d.csv,2.4709,0.487872,-1.55215,-2.95575,1
anillo_centro_4d.csv,0.308062,-0.0635629,-0.352081,-0.159758,2
anillo_centro_4d.csv,0.030435,0.0108123,0.293125,-0.310008,2
anillo_centro_4d.csv,-0.00729015,0.0505938,0.0343156,0.186952,2
anillo_centro_4d.csv,2.93973,2.2648,0.360211,-1.73021,1
anillo_centro_4d.csv,0.304468,-0.195291,0.254038,0.206149,2
anillo_centro_4d.csv,0.534782,0.233531,-0.0746615,-0.195789,2
anillo_centro_4d.csv,2.46659,0.736624,-1.38675,-2.73746,1
anillo_centro_4d.csv,0.0516504,-0.403495,-0.0558325,0.423516,2
anillo_centro_4d.csv,0.00252621,-0.0438772,0.188025,0.0207322,2
anillo_centro_4d.csv,0.263113,-0.0785744,0.493299,-0.103823,2
anillo_centro_4d.csv,-2.56061,-2.15083,-0.611544,1.29845,1
anillo_centro_4d.csv,-0.0223793,-0.0852303,-0.281347,-0.0350655,2
anillo_centro_4d.csv,0.259611,-0.0341566,0.467952,-0.016624,2
anillo_centro_4d.csv,-0.238908,-0.259829,0.29415,-0.445693,2
anillo_centro_4d.csv,2.60163,1.27755,-1.03032,-2.4951,1
anillo_centro_4d.csv,0.204986,0.0246813,-0.189077,0.114077,2
anillo_centro_4d.csv,-0.108311,-0.342884,0.135242,-0.250838,2
anillo_centro_4d.csv,-1.83593,0.345805,2.57069,3.03854,1
anillo_centro_4d.csv,0.0750159,0.451699,-0.245613,-0.320726,2
anillo_centro_4d.csv,-0.175945,-0.206029,0.130249,0.255466,2
anillo_centro_4d.csv,2.95423,1.91228,-0.20374,-2.18589,1
anillo_centro_4d.csv,0.365104,0.116751,0.00792044,0.00830325,2
anillo_centro_4d.csv,1.85114,-0.391904,-2.60229,-2.90289,1
anillo_centro_4d.csv,-2.5812,-0.504366,1.91275,2.98263,1
anillo_centro_4d.csv,0.107188,-0.250718,-0.0351727,0.0771376,2
anillo_centro_4d.csv,-2.38768,-0.899708,1.15307,2.85078,1
anillo_centro_4d.csv,1.7515,3.01756,2.76442,0.509154,1
anillo_centro_4d.csv,-1.77524,-2.97797,-2.38201,-0.197623,1
anillo_centro_4d.csv,2.12122,2.63907,1.46208,-0.767445,1
anillo_centro_4d.csv,2.39939,2.45776,1.5736,-0.601778,1
anillo_centro_4d.csv,-1.95565,0.222678,2.175,3.20143,1
