archivo,Dimension_1,Dimension_2,Dimension_3,Cluster
circulos_3d.csv,0.452592,0.168433,0.139936,1
circulos_3d.csv,-0.438027,0.1199,0.0924634,1
circulos_3d.csv,-0.532224,0.184359,0.00596304,1
circulos_3d.csv,-0.301402,0.400782,-0.0646937,1
circulos_3d.csv,0.445602,-0.894936,0.0698223,2
circulos_3d.csv,-0.284528,0.472151,0.0393485,1
circulos_3d.csv,-0.0122756,0.505647,0.0895193,1
circulos_3d.csv,0.463617,0.110735,0.0635172,1
circulos_3d.csv,-0.115779,-0.50588,0.104955,1
circulos_3d.csv,-0.110616,1.04221,-0.0535235,2
circulos_3d.csv,-0.47056,-0.328788,0.131739,1
circulos_3d.csv,0.564063,0.86372,0.01976,2
circulos_3d.csv,-0.0814013,0.560283,0.207526,1
circulos_3d.csv,0.437675,-0.277926,-0.0689188,1
circulos_3d.csv,0.408347,-0.393502,0.173596,1
circulos_3d.csv,0.0695082,-0.47663,0.0197911,1
circulos_3d.csv,-0.941735,-0.326969,-0.0651418,2
circulos_3d.csv,0.0948014,-0.492694,-0.0483886,1
circulos_3d.csv,-0.539472,-0.0545481,-0.0320347,1
circulos_3d.csv,-0.638796,-0.733996,0.0424166,2
circulos_3d.csv,0.364429,0.268768,0.0522835,1
circulos_3d.csv,-0.552104,0.878706,-0.05737,2
circulos_3d.csv,-0.00194822,-0.994634,-0.00243546,2
circulos_3d.csv,0.447126,0.186601,0.214227,1
circulos_3d.csv,-0.930876,0.440904,0.172754,2
circulos_3d.csv,-0.906799,0.207483,0.0436324,2
circulos_3d.csv,0.279665,0.996321,0.00380035,2
circulos_3d.csv,0.556631,-0.109743,0.0120031,1
circulos_3d.csv,0.145039,-0.499128,0.0613518,1
circulos_3d.csv,0.441337,-0.260252,-0.102279,1
circulos_3d.csv,-0.287117,-0.883899,-0.0257377,2
circulos_3d.csv,-0.256634,0.998613,-0.166858,2
circulos_3d.csv,-0.0277971,0.473723,0.0399223,1
circulos_3d.csv,1.00845,0.0292122,0.0647196,2
circulos_3d.csv,-0.107333,-1.11426,-0.0483186,2
circulos_3d.csv,-0.784964,0.740109,0.157399,2
circulos_3d.csv,-0.361467,0.358114,-0.122577,1
circulos_3d.csv,0.335472,0.464606,-0.146437,1
circulos_3d.csv,0.171315,-0.451443,0.0224452,1
circulos_3d.csv,0.750025,0.618345,0.10471,2
