archivo,Dimension_1,Dimension_2,Dimension_3,Cluster
densidad_variable_3d.csv,-0.135036,-0.0289037,-0.158484,1
densidad_variable_3d.csv,-0.0615923,-0.378723,0.0426587,1
densidad_variable_3d.csv,0.000241095,-0.163418,0.131849,1
densidad_variable_3d.csv,0.187514,-0.321512,-0.152545,1
densidad_variable_3d.csv,-0.153828,-0.187981,0.165895,1
densidad_variable_3d.csv,-0.0387652,-0.052903,-0.400772,1
densidad_variable_3d.csv,0.127084,-0.247852,0.0119865,1
densidad_variable_3d.csv,0.0554754,0.272132,-0.261764,1
densidad_variable_3d.csv,-0.603902,0.0367699,0.360102,1
densidad_variable_3d.csv,0.247789,0.0419319,-0.0983272,1
densidad_variable_3d.csv,0.161425,-0.194709,0.0952716,1
densidad_variable_3d.csv,0.101094,0.212042,0.551932,1
densidad_variable_3d.csv,0.0784832,-0.101793,-0.00511486,1
densidad_variable_3d.csv,-0.353815,-0.138943,-0.0818565,1
densidad_variable_3d.csv,-0.104818,0.030471,-0.164484,1
densidad_variable_3d.csv,0.224206,4.1413e-05,-0.00186006,1
densidad_variable_3d.csv,-0.0655789,0.0310381,0.16502,1
densidad_variable_3d.csv,-0.173426,-0.131623,-0.0607452,1
densidad_variable_3d.csv,-0.269174,-0.163852,-0.0952442,1
densidad_variable_3d.csv,0.174878,0.0525123,0.038718,1
densidad_variable_3d.csv,0.17018,-0.0274744,0.078093,1
densidad_variable_3d.csv,-0.0206444,0.0530725,-0.116552,1
densidad_variable_3d.csv,-0.487763,-0.0268558,0.28455,1
densidad_variable_3d.csv,0.185243,0.193079,0.247226,1
densidad_variable_3d.csv,0.0177315,0.0394631,-0.12353,1
densidad_variable_3d.csv,-0.0632146,0.123154,0.240777,1
densidad_variable_3d.csv,-0.0278893,-0.0900379,0.000105592,1
densidad_variable_3d.csv,0.120241,-0.288771,-0.459236,1
densidad_variable_3d.csv,-0.110107,-0.244142,-0.101628,1
densidad_variable_3d.csv,-0.0295561,-0.0906497,0.290494,1
densidad_variable_3d.csv,0.065349,0.0600949,0.124441,1
densidad_variable_3d.csv,-0.227767,0.207822,-0.0151529,1
densidad_variable_3d.csv,0.134096,-0.214371,-0.310752,1
densidad_variable_3d.csv,0.163578,0.0752819,-0.18041,1
densidad_variable_3d.csv,-0.173933,0.225087,-0.237882,1
densidad_variable_3d.csv,0.328535,-0.180124,0.127678,1
densidad_variable_3d.csv,-0.0657237,0.120637,-0.108823,1
densidad_variable_3d.csv,-0.0325586,0.00818384,-0.200437,1
densidad_variable_3d.csv,0.148165,-0.102643,-0.04572,1
densidad_variable_3d.csv,-0.19887,-0.512467,-0.0382056,1
densidad_variable_3d.csv,0.482523,0.156921,-0.00385208,1
densidad_variable_3d.csv,-0.0525782,0.00449318,0.109424,1
densidad_variable_3d.csv,-0.236163,0.222864,0.143076,1
densidad_variable_3d.csv,0.143637,0.0876951,0.00392333,1
densidad_variable_3d.csv,0.134572,0.118363,-0.0708081,1
densidad_variable_3d.csv,-0.11472,0.0203713,0.309804,1
densidad_variable_3d.csv,-0.247821,-0.293505,0.0329522,1
densidad_variable_3d.csv,0.0101775,0.0346683,0.0487906,1
densidad_variable_3d.csv,-0.0446405,0.297973,-0.320181,1
densidad_variable_3d.csv,-0.165699,-0.020651,-0.328638,1
densidad_variable_3d.csv,-0.0351709,0.332294,0.0041773,1
densidad_variable_3d.csv,0.0461402,-0.252033,-0.123272,1
densidad_variable_3d.csv,-0.0750393,-0.063543,0.256329,1
densidad_variable_3d.csv,0.111538,-0.222292,0.049301,1
densidad_variable_3d.csv,0.0996443,0.22803,0.316108,1
densidad_variable_3d.csv,-0.203019,-0.162172,-0.251516,1
densidad_variable_3d.csv,-0.046804,0.0932717,0.197467,1
densidad_variable_3d.csv,-0.0151902,-0.0639695,0.0303516,1
densidad_variable_3d.csv,-0.167029,0.417908,-0.321532,1
densidad_variable_3d.csv,0.0369481,0.404721,0.00135997,1
densidad_variable_3d.csv,-0.0380078,-0.0714891,-0.0360783,1
densidad_variable_3d.csv,0.27457,-0.442372,0.306687,1
densidad_variable_3d.csv,-0.284791,-0.0533305,-0.0858489,1
densidad_variable_3d.csv,0.117711,-0.319625,0.0924345,1
densidad_variable_3d.csv,0.404862,-0.272635,0.0379412,1
densidad_variable_3d.csv,-0.132396,0.0851774,0.00382956,1
densidad_variable_3d.csv,-0.128297,0.0975745,0.36087,1
densidad_variable_3d.csv,-0.0381808,0.143952,-0.258655,1
densidad_variable_3d.csv,-0.191287,0.0944813,0.296823,1
densidad_variable_3d.csv,0.0711227,-0.0626116,-0.000141719,1
densidad_variable_3d.csv,-0.250082,0.120903,0.176467,1
densidad_variable_3d.csv,-0.0904181,-0.0940084,0.0531756,1
densidad_variable_3d.csv,-0.0873439,-0.0132265,0.419944,1
densidad_variable_3d.csv,-0.0494051,-0.071668,-0.129508,1
densidad_variable_3d.csv,0.148838,-0.0362448,-0.129875,1
densidad_variable_3d.csv,0.264261,0.283921,-0.120085,1
densidad_variable_3d.csv,-0.373308,0.201503,-0.136926,1
densidad_variable_3d.csv,0.158125,-0.394021,0.178519,1
densidad_variable_3d.csv,-0.242234,0.146153,0.00285461,1
densidad_variable_3d.csv,-0.190788,-0.0814073,0.137264,1
densidad_variable_3d.csv,0.0211789,0.116883,0.395288,1
