archivo,Dimension_1,Dimension_2,Dimension_3,Cluster
espiral_3d.csv,-0.042376,-0.0453414,-0.179564,1
espiral_3d.csv,-0.0290055,0.073347,-0.125421,1
espiral_3d.csv,0.112852,0.049034,-0.0694193,1
espiral_3d.csv,-0.00215481,0.160409,0.0793608,1
espiral_3d.csv,0.0168615,-0.022743,0.0156689,1
espiral_3d.csv,-0.0312205,-0.208873,0.214228,1
espiral_3d.csv,0.0394457,0.0421198,0.00622124,1
espiral_3d.csv,-0.0456596,-0.0154567,-0.145925,1
espiral_3d.csv,0.259478,-0.119358,-0.0871806,1
espiral_3d.csv,-0.00836361,0.133984,0.0194689,1
espiral_3d.csv,-0.084086,0.131819,0.0931201,1
espiral_3d.csv,0.0972058,0.0792929,0.261458,1
espiral_3d.csv,0.265673,-0.0594938,0.186413,1
espiral_3d.csv,0.0892447,0.0606691,-0.143201,1
espiral_3d.csv,0.0376142,-0.0688183,0.110834,1
espiral_3d.csv,0.165443,-0.193158,0.0278265,1
espiral_3d.csv,0.174158,-0.00243016,0.104938,1
espiral_3d.csv,0.100677,0.0524709,0.00690254,1
espiral_3d.csv,-0.0525603,-0.0916621,0.106971,1
espiral_3d.csv,0.0745266,0.00894341,-0.00435097,1
espiral_3d.csv,0.0454879,0.129906,0.00651563,1
espiral_3d.csv,-0.0547336,0.102116,0.0215544,1
espiral_3d.csv,0.0858159,0.191158,0.041988,1
espiral_3d.csv,0.114833,-0.0847306,0.0240791,1
espiral_3d.csv,0.150037,-0.119502,0.0681326,1
espiral_3d.csv,0.102262,0.0431465,0.153766,1
espiral_3d.csv,0.128652,0.189916,-0.0473069,1
espiral_3d.csv,0.111749,0.0537527,-0.0528714,1
espiral_3d.csv,0.196656,0.281076,0.0543554,1
espiral_3d.csv,0.154317,0.0604654,-0.0133004,1
espiral_3d.csv,-0.0755568,-0.0150572,-0.0791358,1
espiral_3d.csv,0.279547,0.0476153,0.0274701,1
espiral_3d.csv,0.200581,-0.0493451,-0.0126223,1
espiral_3d.csv,0.12091,0.169506,0.116235,1
espiral_3d.csv,0.141278,0.0783342,0.108092,1
espiral_3d.csv,0.138858,-0.0284902,0.074678,1
espiral_3d.csv,0.0134721,0.0866895,0.0240073,1
espiral_3d.csv,0.376826,0.0787533,-0.0663499,1
