archivo,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Cluster
hiperesferas_4d.csv,-1.45093,-1.68162,-1.58153,1.41401,1
hiperesferas_4d.csv,-1.09004,1.55456,2.12172,0.47162,1
hiperesferas_4d.csv,-2.53272,1.18627,-0.768366,0.590502,1
hiperesferas_4d.csv,-1.44572,-2.34133,1.22547,0.920293,1
hiperesferas_4d.csv,0.407665,-0.27906,0.800006,0.576885,2
hiperesferas_4d.csv,-2.50029,-0.994583,-0.744574,-0.912076,1
hiperesferas_4d.csv,1.7129,-1.94902,0.186679,-1.32416,1
hiperesferas_4d.csv,-0.329511,-0.360469,0.783736,-0.0478329,2
hiperesferas_4d.csv,-1.82109,0.411626,2.31615,-0.628458,1
hiperesferas_4d.csv,1.22507,2.57021,0.111132,-0.875935,1
hiperesferas_4d.csv,-0.125196,0.450555,-0.987954,-0.166563,2
hiperesferas_4d.csv,-0.536732,0.327616,-0.593786,-0.065475,2
hiperesferas_4d.csv,2.93993,0.428609,-1.15342,0.365058,1
hiperesferas_4d.csv,-0.878073,-0.0942163,-0.581811,-0.45945,2
hiperesferas_4d.csv,-0.427115,-0.362444,-0.904652,-0.0914436,2
hiperesferas_4d.csv,-0.354306,-0.629467,-0.0594539,0.603899,2
hiperesferas_4d.csv,-1.93759,1.27825,1.43818,-0.483099,1
hiperesferas_4d.csv,-1.21242,1.03353,-0.136167,-2.37176,1
hiperesferas_4d.csv,0.828551,0.449365,0.00212431,0.224222,2
hiperesferas_4d.csv,-0.3103,-0.0156562,-0.73479,-2.84871,1
hiperesferas_4d.csv,1.24127,-0.719198,0.757865,2.54883,1
hiperesferas_4d.csv,0.0955511,-1.67219,-0.813147,2.3786,1
hiperesferas_4d.csv,-0.0649317,0.607276,-2.87594,-0.695385,1
hiperesferas_4d.csv,1.69699,2.15768,1.0706,0.431384,1
hiperesferas_4d.csv,0.118978,-0.278923,-0.48473,-0.597798,2
hiperesferas_4d.csv,-0.654126,0.751133,-0.0458267,-0.301026,2
hiperesferas_4d.csv,1.78273,-2.18691,-1.05184,0.0507722,1
hiperesferas_4d.csv,0.339974,-0.909565,0.136645,0.197782,2
hiperesferas_4d.csv,-1.15919,-1.81559,0.0941975,-2.07557,1
hiperesferas_4d.csv,0.143641,0.540538,0.556432,0.700568,2
hiperesferas_4d.csv,-1.33959,-0.0590048,-2.74236,0.113799,1
hiperesferas_4d.csv,-1.16756,-1.2293,-1.87466,-1.86995,1
hiperesferas_4d.csv,-0.687958,-1.26338,2.53282,-0.482063,1
hiperesferas_4d.csv,-1.1428,-1.14972,-0.723838,-2.40194,1
hiperesferas_4d.csv,-0.218624,-0.180574,-0.706372,-0.389029,2
hiperesferas_4d.csv,-0.321868,1.55049,-2.30918,1.13771,1
hiperesferas_4d.csv,0.492067,-0.210231,-0.52618,-0.77549,2
hiperesferas_4d.csv,1.67487,1.00477,0.469675,-2.21534,1
hiperesferas_4d.csv,-0.163086,-0.40444,-0.522862,-0.786356,2
hiperesferas_4d.csv,2.21205,0.539892,-0.975626,-1.72303,1
hiperesferas_4d.csv,-1.09331,-2.69526,0.192634,-1.47207,1
hiperesferas_4d.csv,-1.89124,-1.73097,1.4658,0.126609,1
hiperesferas_4d.csv,-1.14618,-1.4286,-1.90579,-1.04681,1
hiperesferas_4d.csv,1.55512,-0.738622,2.23947,-1.37848,1
hiperesferas_4d.csv,-2.62733,-1.26266,-0.898661,-0.345415,1
hiperesferas_4d.csv,-0.598598,-0.593339,0.0578775,-0.436224,2
hiperesferas_4d.csv,0.0331895,1.49575,2.36736,-1.30925,1
hiperesferas_4d.csv,-2.59602,-1.49217,0.546932,0.0588813,1
hiperesferas_4d.csv,0.807509,0.348013,0.10056,-0.435556,2
hiperesferas_4d.csv,-0.235244,-1.3429,-1.73818,-2.08998,1
hiperesferas_4d.csv,-0.12485,-1.29588,2.58863,0.622906,1
hiperesferas_4d.csv,0.748022,-0.403024,-0.10844,0.681613,2
hiperesferas_4d.csv,-2.02658,1.91138,-0.831171,0.55078,1
hiperesferas_4d.csv,-0.720652,-0.183401,-0.386079,0.32189,2
hiperesferas_4d.csv,0.50948,0.292527,-1.16868,2.76068,1
hiperesferas_4d.csv,0.478742,-0.15947,0.25276,-0.963911,2
hiperesferas_4d.csv,-1.05773,-1.89129,1.3928,1.56717,1
hiperesferas_4d.csv,-0.171891,2.49751,1.56102,0.199597,1
hiperesferas_4d.csv,0.0690257,-1.14738,-1.84319,2.16607,1
hiperesferas_4d.csv,-2.67869,-0.0867219,1.39188,0.572601,1
hiperesferas_4d.csv,2.73681,0.517488,-0.102801,0.99675,1
hiperesferas_4d.csv,0.37423,-0.960351,2.38246,-1.36841,1
hiperesferas_4d.csv,-0.527023,-0.233687,-2.54307,-1.46399,1
hiperesferas_4d.csv,-2.2951,-1.71612,-0.820803,0.232918,1
hiperesferas_4d.csv,1.326,0.516968,1.91872,-1.55663,1
hiperesferas_4d.csv,-0.893084,-2.67595,-0.382847,0.880918,1
hiperesferas_4d.csv,-0.126196,1.15047,2.68965,-0.385603,1
hiperesferas_4d.csv,0.373888,0.334094,0.619943,0.509317,2
hiperesferas_4d.csv,-0.4463,-0.401178,1.95256,-2.00616,1
hiperesferas_4d.csv,2.04911,-1.5274,-0.711573,0.89738,1
hiperesferas_4d.csv,-1.75977,-2.22179,-0.769168,0.429913,1
hiperesferas_4d.csv,-1.032,1.19621,1.1548,2.27926,1
