archivo,Dimension_1,Dimension_2,Dimension_3,Cluster
lunas_3d.csv,-0.0514697,0.444199,0.0745071,1
lunas_3d.csv,1.03202,-0.419741,-0.0207396,1
lunas_3d.csv,0.867892,-0.254827,0.0971533,1
lunas_3d.csv,0.288851,-0.448669,0.228454,1
lunas_3d.csv,-0.833439,0.535057,-0.035123,2
lunas_3d.csv,0.613706,-0.242369,-0.0351205,1
lunas_3d.csv,0.286495,-0.201277,0.236882,1
lunas_3d.csv,-0.0561042,0.477079,0.115115,1
lunas_3d.csv,1.60422,-0.303541,-0.0704212,1
lunas_3d.csv,0.709641,0.858867,0.081384,2
lunas_3d.csv,1.15678,-0.389896,-0.0695127,1
lunas_3d.csv,0.860676,0.555191,-0.0698595,2
lunas_3d.csv,0.319695,-0.125269,0.0362943,1
lunas_3d.csv,1.91899,0.114007,-0.286992,1
lunas_3d.csv,2.03232,0.0409741,-0.258738,1
lunas_3d.csv,1.65025,-0.0871981,-0.0843431,1
lunas_3d.csv,-0.214761,1.06393,-0.151925,2
lunas_3d.csv,1.83421,-0.157539,0.0471371,1
lunas_3d.csv,0.983857,-0.468686,-0.136204,1
lunas_3d.csv,-0.407208,0.962683,-0.211846,2
lunas_3d.csv,-0.0402729,0.15634,0.219847,1
lunas_3d.csv,0.508571,1.01387,-0.0338664,2
lunas_3d.csv,-0.595899,0.729632,0.0101292,2
lunas_3d.csv,-0.0343266,0.371214,-0.213712,1
lunas_3d.csv,0.136989,0.887537,-0.0816574,2
lunas_3d.csv,0.242139,1.03604,0.0166384,2
lunas_3d.csv,0.769801,0.676794,-0.172649,2
lunas_3d.csv,2.12535,0.373782,0.0563547,1
lunas_3d.csv,1.77651,-0.128698,-0.0900958,1
lunas_3d.csv,2.04327,0.275792,-0.0437541,1
lunas_3d.csv,-0.432261,0.921914,-0.090256,2
lunas_3d.csv,0.477688,0.795712,0.277842,2
lunas_3d.csv,0.170559,-0.241509,-0.00202458,1
lunas_3d.csv,-0.982941,0.0835565,-0.158657,2
lunas_3d.csv,-0.77702,0.4933,0.123382,2
lunas_3d.csv,0.336634,1.21225,-0.183127,2
lunas_3d.csv,0.596305,-0.418887,0.0313295,1
lunas_3d.csv,0.314826,0.0544908,-0.293951,1
lunas_3d.csv,1.83731,-0.0343679,-0.199228,1
lunas_3d.csv,0.956826,0.248992,0.0295292,2
lunas_3d.csv,-0.608488,1.06902,0.11077,2
lunas_3d.csv,0.841235,0.578274,0.0257052,2
lunas_3d.csv,-0.392433,1.00169,-0.0173472,2
lunas_3d.csv,2.24151,0.39565,-0.0451656,1
lunas_3d.csv,-0.36543,0.938492,-0.221778,2
lunas_3d.csv,-0.0651706,0.92677,-0.107977,2
lunas_3d.csv,1.9758,-0.186905,-0.0690958,1
lunas_3d.csv,0.172459,-0.0310665,0.158568,1
lunas_3d.csv,-0.802486,0.286979,0.0515427,2
lunas_3d.csv,1.37316,-0.378137,-0.264456,1
lunas_3d.csv,-0.0169933,0.0585197,0.0486126,1
lunas_3d.csv,1.72727,-0.317562,-0.0577623,1
lunas_3d.csv,0.00810571,0.981659,-0.101538,2
lunas_3d.csv,0.226217,-0.156061,0.0917514,1
lunas_3d.csv,0.887815,0.195964,0.15465,2
lunas_3d.csv,0.902305,0.171299,0.139692,2
lunas_3d.csv,0.259317,-0.155952,-0.125883,1
lunas_3d.csv,0.930262,0.0778448,-0.0463819,2
lunas_3d.csv,0.100214,1.05137,0.0496895,2
lunas_3d.csv,1.41794,-0.3876,0.146332,1
lunas_3d.csv,-0.0315971,0.846742,-0.0718761,2
lunas_3d.csv,1.08162,0.0675255,-0.0278488,2
lunas_3d.csv,-0.173081,0.114584,-0.16595,1
lunas_3d.csv,0.134472,0.988039,-0.179431,2
lunas_3d.csv,0.235791,-0.134452,0.121879,1
lunas_3d.csv,0.63086,-0.382411,0.203436,1
lunas_3d.csv,0.559885,-0.484718,-0.0108015,1
lunas_3d.csv,1.63325,-0.249823,0.15053,1
lunas_3d.csv,0.952983,0.34931,0.0542454,2
lunas_3d.csv,0.0274989,0.235575,-0.096768,1
lunas_3d.csv,0.711104,0.55101,0.0542093,2
lunas_3d.csv,-0.989412,0.0247312,0.230705,2
lunas_3d.csv,0.206328,-0.142109,-0.00537391,1
lunas_3d.csv,0.911443,-0.52149,0.234697,1
lunas_3d.csv,-0.183003,0.870375,-0.392962,-1
lunas_3d.csv,-0.222663,0.994513,0.123285,2
lunas_3d.csv,0.58863,-0.418152,0.0130571,1
lunas_3d.csv,0.904284,0.14934,-0.0448511,2
lunas_3d.csv,-0.0140608,0.145008,0.0137641,1
lunas_3d.csv,-0.478302,0.853557,-0.298135,2
lunas_3d.csv,0.702155,-0.578415,-0.0329508,1
lunas_3d.csv,0.990541,0.262364,0.0535669,2
lunas_3d.csv,-0.0351841,0.770153,0.221684,2
lunas_3d.csv,0.737,0.354927,-0.0777405,2
lunas_3d.csv,-0.320834,0.905344,-0.121274,2
lunas_3d.csv,0.0117437,0.336986,-0.0752636,1
lunas_3d.csv,2.2155,0.56093,0.13731,1
lunas_3d.csv,0.716071,-0.516942,0.0493127,1
lunas_3d.csv,0.893189,-0.489675,-0.079464,1
lunas_3d.csv,-0.631751,0.938495,0.0769901,2
lunas_3d.csv,-0.540196,0.743537,0.0145616,2
lunas_3d.csv,-1.0016,0.350312,0.145297,2
lunas_3d.csv,0.17163,0.518985,-0.105308,1
lunas_3d.csv,0.0966438,1.03143,-0.0491493,2
lunas_3d.csv,1.21809,-0.3916,-0.0588162,1
lunas_3d.csv,-0.884005,0.149344,-0.219527,2
lunas_3d.csv,1.05636,-0.47598,0.044418,1
