archivo,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Cluster
puentes_4d.csv,3.43216,3.43996,3.65603,3.49349,1
puentes_4d.csv,2.43961,2.71192,2.66686,2.39756,1
puentes_4d.csv,3.76716,3.77443,3.70512,3.62873,1
puentes_4d.csv,2.53138,-0.687328,4.93059,1.91714,-1
puentes_4d.csv,0.286269,3.99372,-0.587354,3.1165,-1
puentes_4d.csv,0.0872623,0.0838988,0.074991,-0.292292,1
puentes_4d.csv,4.46882,-0.196367,5.18073,1.95694,-1
puentes_4d.csv,3.15331,3.813,4.58838,-1.49588,-1
puentes_4d.csv,0.139407,0.116717,0.253039,0.0406805,1
puentes_4d.csv,4.83835,5.0639,4.19604,2.5944,-1
puentes_4d.csv,0.207427,0.582948,-0.334969,-0.164776,1
puentes_4d.csv,-1.66417,2.16173,4.0737,4.68443,-1
puentes_4d.csv,3.75899,3.9336,-1.20832,-0.972812,-1
puentes_4d.csv,-0.176303,2.14656,-0.0933533,1.71097,-1
puentes_4d.csv,3.63669,4.33895,4.00086,4.34372,1
puentes_4d.csv,3.75015,3.79391,3.74451,3.58725,1
puentes_4d.csv,-0.532267,-0.360413,0.328877,0.258311,1
puentes_4d.csv,0.47642,0.0337933,-0.000562408,0.189584,1
puentes_4d.csv,0.844721,2.97557,-1.59116,-0.0940195,-1
puentes_4d.csv,0.295585,-0.00357074,0.102526,-0.000203749,1
puentes_4d.csv,-0.243329,-0.116257,-0.153752,0.158334,1
puentes_4d.csv,3.96042,3.84478,3.81178,3.76549,1
puentes_4d.csv,3.9108,4.13206,4.3068,4.72607,1
puentes_4d.csv,3.85215,3.96083,4.20513,4.1613,1
puentes_4d.csv,3.81862,4.07349,3.90676,3.8802,1
puentes_4d.csv,3.94608,3.69611,4.48925,4.62068,1
puentes_4d.csv,4.56666,4.29504,3.75187,3.93301,1
puentes_4d.csv,2.79941,5.84651,0.747066,2.33096,-1
puentes_4d.csv,3.89354,3.77575,4.24684,4.27266,1
puentes_4d.csv,0.251619,2.07335,1.29076,4.37347,-1
puentes_4d.csv,5.14672,0.725082,-1.70121,-0.532066,-1
puentes_4d.csv,4.26807,4.44308,3.664,4.10909,1
puentes_4d.csv,4.08861,4.14626,4.1988,3.91524,1
puentes_4d.csv,3.70291,3.86377,3.86828,4.01625,1
puentes_4d.csv,3.80654,3.73414,4.02532,3.71376,1
puentes_4d.csv,-1.00881,-1.84816,4.42694,2.29263,-1
puentes_4d.csv,3.65509,3.8542,3.9143,4.10551,1
puentes_4d.csv,0.205904,-0.52731,0.197585,0.213387,1
puentes_4d.csv,3.85967,3.96995,4.3085,4.23879,1
puentes_4d.csv,0.0310704,-0.353681,-0.354646,0.32675,1
puentes_4d.csv,0.458704,0.191248,0.63514,0.149267,1
puentes_4d.csv,0.656073,0.747713,0.556297,0.74409,1
puentes_4d.csv,3.94033,4.04943,3.77827,3.5231,1
puentes_4d.csv,0.375865,0.0777477,0.092773,-0.0632769,1
puentes_4d.csv,0.30544,4.44297,-0.187735,3.62948,-1
puentes_4d.csv,-1.48755,1.98262,4.85464,-1.37276,-1
puentes_4d.csv,3.75447,3.65859,4.31878,3.75069,1
puentes_4d.csv,0.779795,0.633994,0.596124,0.756011,1
puentes_4d.csv,3.59737,3.96928,4.07631,4.05218,1
puentes_4d.csv,4.20316,4.00691,4.1925,3.39934,1
puentes_4d.csv,3.63005,3.59231,3.64212,3.39798,1
puentes_4d.csv,3.94857,4.05593,4.15909,4.0548,1
puentes_4d.csv,-0.431921,-0.0126022,0.14582,0.525873,1
puentes_4d.csv,1.97741,1.96195,2.02384,2.05646,1
puentes_4d.csv,3.69185,3.99251,3.87037,3.7807,1
puentes_4d.csv,4.18479,4.13016,4.05245,3.74515,1
puentes_4d.csv,3.46154,4.07111,5.891,1.95468,-1
puentes_4d.csv,3.3645,3.59982,3.29131,3.40496,1
puentes_4d.csv,0.759418,5.96154,4.9011,0.80909,-1
puentes_4d.csv,3.9069,4.17617,4.16744,4.75641,1
puentes_4d.csv,3.45459,3.96318,4.53835,3.90385,1
puentes_4d.csv,4.00387,4.07723,3.79213,4.04652,1
puentes_4d.csv,3.55722,1.46463,3.2643,5.81664,-1
puentes_4d.csv,0.482607,-0.0810697,0.243702,0.149922,1
puentes_4d.csv,-0.395967,0.379929,0.148554,-0.154272,1
puentes_4d.csv,4.16767,3.7154,3.96766,3.58329,1
puentes_4d.csv,0.522816,1.89292,2.97787,5.85268,-1
puentes_4d.csv,4.08108,4.33976,3.99877,3.68902,1
puentes_4d.csv,-0.118847,-0.0114964,-0.727451,0.33188,1
puentes_4d.csv,4.29799,4.36622,3.81517,4.2502,1
puentes_4d.csv,4.02374,3.9088,4.29801,3.60263,1
puentes_4d.csv,4.09619,4.08906,3.50458,4.09571,1
puentes_4d.csv,3.96094,3.96154,3.92793,3.81903,1
puentes_4d.csv,1.30003,1.68554,-0.159076,1.6144,-1
puentes_4d.csv,0.079731,0.196565,0.187669,0.279279,1
puentes_4d.csv,1.89697,2.03613,2.76304,4.72712,-1
puentes_4d.csv,-0.0969403,0.349754,0.0431944,0.0187079,1
puentes_4d.csv,0.103754,0.302318,-0.157879,-0.155506,1
puentes_4d.csv,-0.182453,-0.103513,0.620247,-0.0202505,1
puentes_4d.csv,4.09712,3.9165,4.04478,3.88087,1
puentes_4d.csv,0.0913546,-0.38913,-0.117693,-0.5492,1
puentes_4d.csv,3.2341,3.25852,3.11995,3.07267,1
puentes_4d.csv,-0.115025,0.554514,0.117623,0.224218,1
puentes_4d.csv,0.00972218,0.283856,0.174477,-0.0703245,1
puentes_4d.csv,4.14313,3.77933,4.20679,4.08075,1
puentes_4d.csv,-0.506366,-0.198249,0.27309,0.201502,1
puentes_4d.csv,-0.0940785,-0.227961,0.0174814,0.190323,1
puentes_4d.csv,0.0480179,-0.0534038,0.102662,0.0856951,1
puentes_4d.csv,-0.647609,1.6808,5.06953,2.03177,-1
puentes_4d.csv,3.64109,2.30164,2.57483,0.388252,-1
puentes_4d.csv,3.528,4.2477,3.90542,4.07269,1
puentes_4d.csv,3.42629,3.42179,3.44888,3.28768,1
puentes_4d.csv,4.00145,2.8607,-1.31581,-1.29403,-1
puentes_4d.csv,0.308793,-0.076511,0.18293,-0.432202,1
