version,n_puntos,n_clusters,tiempo_ms
KDMeansFB,1000,5,1.4607
KDMeansFB,1150,5,2.4181
KDMeansFB,1300,5,1.9929
KDMeansFB,1450,5,1.4584
KDMeansFB,1600,5,1.9082
KDMeansFB,1750,5,2.8377
KDMeansFB,1900,5,2.6498
KDMeansFB,2050,5,4.3504
KDMeansFB,2200,5,5.6788
KDMeansFB,2400,5,4.0236
KDMeansFB,1000,15,3.5971
KDMeansFB,1150,15,7.4654
KDMeansFB,1300,15,7.7608
KDMeansFB,1450,15,3.4545
KDMeansFB,1600,15,6.9869
KDMeansFB,1750,15,12.0385
KDMeansFB,1900,15,7.7570
KDMeansFB,2050,15,11.6662
KDMeansFB,2200,15,18.8503
KDMeansFB,2400,15,15.0688
KDMeansFB,1000,25,18.4549
KDMeansFB,1150,25,9.6109
KDMeansFB,1300,25,11.8500
KDMeansFB,1450,25,13.0830
KDMeansFB,1600,25,7.6250
KDMeansFB,1750,25,13.5170
KDMeansFB,1900,25,10.5760
KDMeansFB,2050,25,26.6704
KDMeansFB,2200,25,17.7060
KDMeansFB,2400,25,28.8959
KDMeansFB,1000,50,22.6550
KDMeansFB,1150,50,9.1037
KDMeansFB,1300,50,28.7518
KDMeansFB,1450,50,29.6521
KDMeansFB,1600,50,20.1953
KDMeansFB,1750,50,30.1593
KDMeansFB,1900,50,27.4515
KDMeansFB,2050,50,33.3496
KDMeansFB,2200,50,33.6786
KDMeansFB,2400,50,35.2296
KDMeansFB,1000,75,13.9653
KDMeansFB,1150,75,19.0708
KDMeansFB,1300,75,26.5744
KDMeansFB,1450,75,27.2110
KDMeansFB,1600,75,25.9413
KDMeansFB,1750,75,41.6637
KDMeansFB,1900,75,42.7601
KDMeansFB,2050,75,65.8254
KDMeansFB,2200,75,42.4483
KDMeansFB,2400,75,56.3393
