version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,5,1.9394
KDTreeOpt,1150,5,7.8493
KDTreeOpt,1300,5,3.7534
KDTreeOpt,1450,5,5.3081
KDTreeOpt,1600,5,9.0426
KDTreeOpt,1750,5,8.3527
KDTreeOpt,1900,5,5.1047
KDTreeOpt,2050,5,10.3132
KDTreeOpt,2200,5,14.3164
KDTreeOpt,2400,5,10.7163
KDMeansFB,1000,5,1.4607
KDMeansFB,1150,5,2.4181
KDMeansFB,1300,5,1.9929
KDMeansFB,1450,5,1.4584
KDMeansFB,1600,5,1.9082
KDMeansFB,1750,5,2.8377
KDMeansFB,1900,5,2.6498
KDMeansFB,2050,5,4.3504
KDMeansFB,2200,5,5.6788
KDMeansFB,2400,5,4.0236
