version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,5,1.9394
KDTreeOpt,1150,5,7.8493
KDTreeOpt,1300,5,3.7534
KDTreeOpt,1450,5,5.3081
KDTreeOpt,1600,5,9.0426
KDTreeOpt,1750,5,8.3527
KDTreeOpt,1900,5,5.1047
KDTreeOpt,2050,5,10.3132
KDTreeOpt,2200,5,14.3164
KDTreeOpt,2400,5,10.7163
KDTreeOpt,1000,15,6.6376
KDTreeOpt,1150,15,9.8105
KDTreeOpt,1300,15,13.9915
KDTreeOpt,1450,15,12.2007
KDTreeOpt,1600,15,17.0654
KDTreeOpt,1750,15,19.7475
KDTreeOpt,1900,15,14.3662
KDTreeOpt,2050,15,11.8250
KDTreeOpt,2200,15,42.5800
KDTreeOpt,2400,15,20.4792
KDTreeOpt,1000,25,9.1341
KDTreeOpt,1150,25,18.9321
KDTreeOpt,1300,25,16.2450
KDTreeOpt,1450,25,8.2418
KDTreeOpt,1600,25,23.6529
KDTreeOpt,1750,25,14.0120
KDTreeOpt,1900,25,17.3443
KDTreeOpt,2050,25,23.1085
KDTreeOpt,2200,25,18.4643
KDTreeOpt,2400,25,25.1961
KDTreeOpt,1000,50,10.5195
KDTreeOpt,1150,50,10.7773
KDTreeOpt,1300,50,13.3032
KDTreeOpt,1450,50,16.6504
KDTreeOpt,1600,50,27.3192
KDTreeOpt,1750,50,21.4043
KDTreeOpt,1900,50,16.7545
KDTreeOpt,2050,50,23.0140
KDTreeOpt,2200,50,32.9936
KDTreeOpt,2400,50,33.2110
KDTreeOpt,1000,75,16.5964
KDTreeOpt,1150,75,25.7313
KDTreeOpt,1300,75,12.5351
KDTreeOpt,1450,75,12.9090
KDTreeOpt,1600,75,30.8678
KDTreeOpt,1750,75,15.8493
KDTreeOpt,1900,75,28.3041
KDTreeOpt,2050,75,23.2115
KDTreeOpt,2200,75,50.7771
KDTreeOpt,2400,75,34.8826
