version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,5,1.9454
KDTreeOpt,1000,15,4.7967
KDTreeOpt,1000,25,7.0306
KDTreeOpt,1000,50,11.9920
KDTreeOpt,1000,75,18.3250
KDTreeOpt,1000,100,11.2699
KDTreeOpt,1000,125,11.8156
KDTreeOpt,1000,150,10.2383
KDTreeOpt,1000,200,11.6789
KDTreeOpt,1450,5,4.9271
KDTreeOpt,1450,15,10.5564
KDTreeOpt,1450,25,6.7803
KDTreeOpt,1450,50,15.9099
KDTreeOpt,1450,75,13.3363
KDTreeOpt,1450,100,16.2012
KDTreeOpt,1450,125,16.9458
KDTreeOpt,1450,150,19.5136
KDTreeOpt,1450,200,19.9737
KDTreeOpt,1900,5,7.1243
KDTreeOpt,1900,15,18.0927
KDTreeOpt,1900,25,17.3194
KDTreeOpt,1900,50,16.1355
KDTreeOpt,1900,75,26.4165
KDTreeOpt,1900,100,50.5833
KDTreeOpt,1900,125,38.5086
KDTreeOpt,1900,150,24.1871
KDTreeOpt,1900,200,22.1866
KDTreeOpt,2400,5,11.1240
KDTreeOpt,2400,15,26.2584
KDTreeOpt,2400,25,19.8237
KDTreeOpt,2400,50,34.3421
KDTreeOpt,2400,75,35.1577
KDTreeOpt,2400,100,41.9664
KDTreeOpt,2400,125,42.7372
KDTreeOpt,2400,150,52.5951
KDTreeOpt,2400,200,35.2236
