version,n_puntos,n_clusters,tiempo_ms
KDTreeOpt,1000,5,1.9454
KDTreeOpt,1000,15,4.7967
KDTreeOpt,1000,25,7.0306
KDTreeOpt,1000,50,11.9920
KDTreeOpt,1000,75,18.3250
KDTreeOpt,1000,100,11.2699
KDTreeOpt,1000,125,11.8156
KDTreeOpt,1000,150,10.2383
KDTreeOpt,1000,200,11.6789
KDMeansFB,1000,5,1.4674
KDMeansFB,1000,15,3.5613
KDMeansFB,1000,25,18.5411
KDMeansFB,1000,50,21.3508
KDMeansFB,1000,75,13.9616
KDMeansFB,1000,100,37.9182
KDMeansFB,1000,125,20.5331
KDMeansFB,1000,150,28.4870
KDMeansFB,1000,200,44.6021
